splits_count,Scan_Location,Splits_Required,Splits,Source,Destination
11.0,Hassan_Nagathavalli_I,2.0,11.0,,0.0
156.0,Hisar_Dabra_H,22.0,156.0,,0.0
12.0,Howrah_Prasastha_C,2.0,12.0,,0.0
1.0,Howrah_Shibpur_C,1.0,1.0,,0.0
24.0,Hubli_Budarshingi_H,17.0,24.0,,0.0
2.0,Hyderabad_Gudimalkapur_C,2.0,2.0,,0.0
294.0,Hyderabad_Medchal_GW,61.0,313.0,Hyderabad_Medchal_GW,313.0
23.0,Hyderabad_Shamshbd_H,,23.0,,0.0
276.0,Hyderabad_Shamshbd_P,76.0,324.0,Hyderabad_Shamshbd_P,324.0
4.0,Imphal_Takyel_I,4.0,4.0,,0.0
184.0,Indore_BarodaArjun_H,52.0,184.0,,0.0
10.0,Jabalpur_Timri_P,8.0,10.0,,0.0
1.0,Jaipur_RingRoad_I,1.0,1.0,,0.0
301.0,Jaipur_Sez_GW,69.0,314.0,Jaipur_Sez_GW,314.0
10.0,Jalandhar_QajiMandi_P,6.0,10.0,,0.0
8.0,Jalgaon_MIDC_I,7.0,8.0,,0.0
16.0,Jammu_Baribrahmana_H,10.0,16.0,,0.0
14.0,Jamshedpur_Asanbani_H,4.0,14.0,,0.0
15.0,Jeypore_Bariniput_I,6.0,15.0,,0.0
12.0,Jhajjar_Policeline_I,5.0,12.0,,0.0
25.0,Jhansi_Nandanpura_I,7.0,25.0,,0.0
7.0,Jhunjhunu_ShastriNagar_I,2.0,7.0,,0.0
13.0,Jodhpur_BasniPhase2_P,5.0,13.0,,0.0
6.0,Jorhat_Chokihaat_I,6.0,6.0,,0.0
17.0,Junagadh_Dolatpara_I,5.0,17.0,,0.0
6.0,Kannur_Koodali_H,4.0,6.0,,0.0
24.0,Kanpur_DarshanPurwa_C,4.0,24.0,,0.0
126.0,Kanpur_Kataraghan_H,50.0,126.0,,0.0
2.0,KarimNagar_Alugunoor_I,3.0,3.0,,0.0
3.0,Karnal_Kutail_H,4.0,4.0,,0.0
13.0,Kendujhar_Jamunalia_I,5.0,13.0,,0.0
10.0,Khammam_Mudigonda_H,3.0,10.0,,0.0
1.0,Kharagpur_Nimpura_I,1.0,1.0,,0.0
40.0,Kolhapur_HupariRd_H,25.0,40.0,,0.0
341.0,Kolkata_Dankuni_GW,98.0,363.0,Kolkata_Dankuni_GW,363.0
15.0,Kolkata_Paharpur_C,10.0,15.0,,0.0
11.0,Kollam_Kilikollur_H,8.0,11.0,,0.0
7.0,Kota_Govindnagar_H,6.0,7.0,,0.0
6.0,Kottayam_Ettumanoor_H,5.0,6.0,,0.0
12.0,Kozhikode_Central_H,7.0,12.0,,0.0
6.0,Krishnagiri_Bynapalli_I,3.0,6.0,,0.0
2.0,Krishnanagar_MallickPara_I,4.0,4.0,,0.0
9.0,Kurnool_Dinnedevrpdu_I,4.0,9.0,,0.0
10.0,Lakhisarai_Central_I_2,7.0,10.0,,0.0
52.0,Lucknow_Memaura_H,45.0,52.0,,0.0
70.0,Ludhiana_Khakat_H,29.0,70.0,,0.0
25.0,Madurai_Avaniyapuram_H,16.0,25.0,,0.0
5.0,Mainpuri_Bypassroad_I,4.0,5.0,,0.0
5.0,Malda_Tiakati_I,1.0,5.0,,0.0
8.0,Mancherial_Nuspur_I,3.0,8.0,,0.0
7.0,Mandi_Nerchowk_I,4.0,7.0,,0.0
30.0,Mandsaur_Sindpan_I,8.0,30.0,,0.0
23.0,Mangalore_Katipalla_H,21.0,23.0,,0.0
37.0,Mayavaram_Kutrallam_I,6.0,37.0,,0.0
12.0,Meerut_Panchlikhurd_H,7.0,12.0,,0.0
3.0,Mehsana_DediysnGIDC_I,2.0,3.0,,0.0
3.0,Moga_Duneke_I,4.0,4.0,,0.0
18.0,Moradabad_Menather_P,6.0,18.0,,0.0
32.0,Motihari_Chhatauni_H,11.0,32.0,,0.0
256.0,Mumbai_Chndivli_PC,78.0,256.0,,0.0
22.0,Mumbai_GavraiPada_C,4.0,22.0,,0.0
1.0,Mumbai_Kalachowki_I,2.0,2.0,,0.0
